INFO | 2016-11-19 13:30:25,411 | index | root | Logging a test message from /
INFO | 2016-11-21 17:51:39,438 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 17:51:47,520 | index | root | Someone visited the Home page /
INFO | 2016-11-21 17:51:48,006 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 17:51:48,855 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 17:51:52,588 | index | root | Someone visited the Home page /
INFO | 2016-11-21 17:51:52,915 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 17:51:53,276 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 17:53:42,151 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 17:53:44,997 | index | root | Someone visited the Home page /
INFO | 2016-11-21 17:53:45,291 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 17:53:50,000 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 17:53:50,121 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 17:58:58,681 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 18:00:16,373 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 18:00:17,886 | index | root | Someone visited the Home page /
INFO | 2016-11-21 18:00:18,207 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 18:00:18,565 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:04:47,180 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:09:54,909 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:11:18,339 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:11:19,449 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:11:20,329 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:16:16,723 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:16:23,438 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:16:23,991 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:16:24,421 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:16:36,266 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:16:36,496 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:16:37,358 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:18:52,200 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:18:56,258 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:18:57,625 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:18:57,896 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:18:58,351 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:21:24,156 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:22:55,042 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:22:58,327 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:24:00,448 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:24:03,872 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:24:04,590 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:24:05,060 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:24:05,942 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:24:09,718 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:24:10,045 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:24:10,428 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:25:20,106 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:25:22,506 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:25:26,681 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:25:37,788 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:25:40,333 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:29:12,121 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:29:12,882 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:29:13,016 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:29:13,286 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:30:02,550 | index | login | Someone visited the Login page /login
INFO | 2016-11-21 19:30:39,917 | index | root | Someone visited the Home page /
INFO | 2016-11-21 19:30:40,368 | index | register | Someone visited the Register page /register
INFO | 2016-11-21 19:30:41,183 | index | register | Someone visited the Register page /register
